rank,city,state,dox,ground,citizen,start_pct,start_rank
146,Biharsharif,Bihar,0.471052632,0.577142857,0.673490415,55.83065232,146
319,Bikaner,Rajasthan,0.312397661,0.427660714,0.415968099,37.22845557,319
179,Bilaspur,Chattisgarh,0.529220273,0.540660714,0.487520458,51.95704388,179
293,Bodh Gaya,Bihar,0.326666667,0.440142857,0.480414058,40.11599318,293
79,Botad,Gujarat,0.639883041,0.678571429,0.655396499,65.42091754,79
210,Bruhat Bengaluru,Karnataka,0.40502924,0.538666667,0.55662868,48.39184288,210
423,Bulandshahr,Uttar Pradesh,0.167251462,0.209535714,0.366486452,23.7593022,423
171,Bundi,Rajasthan,0.521052632,0.541857143,0.53967283,53.18398192,171
138,Burhanpur,Madhya Pradesh,0.644444444,0.550685065,0.500828417,57.79197912,138
327,Buxar,Bihar,0.203684211,0.497928571,0.490764519,36.33693934,327
305,Chandausi,Uttar Pradesh,0.300584795,0.509464286,0.426585124,39.06047665,305
11,Chandigarh,Chandigarh,0.981578947,0.877952381,0.63175296,85.07245094,11
76,Chandrapur,Maharashtra,0.712339181,0.797767857,0.458820635,65.76407862,76
422,Chapra,Bihar,0.199415205,0.183511905,0.353454481,24.16511628,422
41,Chas,Jharkhand,0.838421053,0.508071429,0.769227077,73.50754542,41
92,Chhatarpur,Madhya Pradesh,0.776666446,0.422535714,0.59780895,63.44765142,92
53,Chhindwara,Madhya Pradesh,0.689064327,0.718940476,0.717217245,70.49792397,53
225,Chickamagaluru,Karnataka,0.37251462,0.632142857,0.462023124,46.42742305,225
107,Chilakaluripet,Andhra Pradesh,0.738128655,0.438535714,0.561015298,61.00964127,107
337,Chitradurga,Karnataka,0.282865497,0.297742857,0.509862671,35.46839892,337
71,Chittoor,Andhra Pradesh,0.736608187,0.653964286,0.552101308,66.05951481,71
301,Chittorgarh,Rajasthan,0.223625731,0.428428571,0.618580684,39.33129269,301
405,Churu,Rajasthan,0.121695906,0.316464286,0.436580227,26.48532973,405
16,Coimbatore,Tamil Nadu,0.962865497,0.862689286,0.586927245,82.50399687,16
250,Cuddalore,Tamil Nadu,0.477602339,0.464857143,0.383015497,44.60399874,250
204,Cuttack,Odisha,0.534366472,0.491428571,0.417627214,48.86102194,204
260,Dabra,Madhya Pradesh,0.333040936,0.420107143,0.619244701,44.06686173,260
350,Daman,Daman and Diu,0.087719298,0.586238095,0.505863619,33.77922936,350
242,Damoh,Madhya Pradesh,0.451871345,0.260228571,0.614672219,45.28009137,242
356,Darbhanga,Bihar,0.236959064,0.34825,0.44482841,32.71426018,356
289,Datia,Madhya Pradesh,0.330292398,0.448464286,0.480338431,40.48491799,289
288,Davanagere,Karnataka,0.363918129,0.459607143,0.425007576,40.61672166,288
120,Deesa,Gujarat,0.632163743,0.402190476,0.706573388,59.69933198,120
316,Dehradun,Uttarakhand,0.339824561,0.420607143,0.392760692,37.59010458,316
334,Dehri,Bihar,0.15497076,0.487809524,0.551201597,35.70497021,334
172,Delhi Cantonment,Delhi,0.470701754,0.478047619,0.665406983,53.0949789,172
102,Deoghar,Jharkhand,0.612339181,0.554371753,0.672396089,61.58643964,102
338,Deoria,Uttar Pradesh,0.221637427,0.551607143,0.389088448,35.43651623,338
58,Dewas,Madhya Pradesh,0.745614035,0.629232143,0.668046367,69.32482616,58
109,Dhanbad,Jharkhand,0.554035088,0.689267857,0.625466803,60.92727948,109
149,Dharmavaram,Andhra Pradesh,0.549298246,0.644535714,0.493177108,55.62712716,149
387,Dhaulpur,Rajasthan,0.057309942,0.450666667,0.523628434,29.55446709,387
124,Dhule,Maharashtra,0.673333333,0.673757143,0.406335309,59.33398783,124
297,Dibrugarh,Assam,0.260116959,0.53497619,0.493898876,39.89663419,297
277,Dimapur,Nagaland,0.303508772,0.637392857,0.410370224,41.90382289,277
391,Dinapur Nizamat,Bihar,0.252339181,0.232357143,0.380659762,28.58398458,391
106,Dindigul,Tamil Nadu,0.615398095,0.702,0.526853506,61.04851946,106
340,Diu,Daman and Diu,0.153216374,0.538357143,0.500203217,35.35976192,340
85,Durg,Chattisgarh,0.658719784,0.670649351,0.593147219,64.20304063,85
66,Dwarka,Gujarat,0.771509311,0.623428571,0.558757395,67.06635512,66
196,East Delhi Municipal Corporation,Delhi,0.685087719,0.381303571,0.32722942,50.17841923,196
86,Eluru,Andhra Pradesh,0.675204678,0.740221429,0.508153356,64.13434692,86
42,Erode,Tamil Nadu,0.798245614,0.855035714,0.537597835,73.42488053,42
406,Etah,Uttar Pradesh,0.103508772,0.360190476,0.425164436,26.41758972,406
336,Etawah,Uttar Pradesh,0.303376411,0.398089286,0.397506275,35.5293589,336
383,Faizabad,Uttar Pradesh,0.149415205,0.505928571,0.350668799,29.89196247,383
88,Faridabad,Haryana,0.715087719,0.782660714,0.403601253,63.8535028,88
377,Farrukhabad-cum-Fatehgarh,Uttar Pradesh,0.130994152,0.504069048,0.397226341,30.41325327,377
412,Fatehpur,Uttar Pradesh,0.110701754,0.409089286,0.350925636,25.73658016,412
222,Ferozepur,Punjab,0.356725146,0.755142857,0.397805818,46.86537754,222
375,Firozabad,Uttar Pradesh,0.212280702,0.43625,0.341083147,30.691376,375
167,Gadag Betageri,Karnataka,0.526073809,0.593559524,0.502359957,53.58310822,167
67,Gandhidham,Gujarat,0.791754386,0.659535714,0.48398088,66.63676662,67
20,Gandhinagar,Gujarat,0.797822543,0.852327381,0.780859639,80.63598813,20
359,Ganganagar,Rajasthan,0.179005848,0.495910714,0.400707522,32.47425667,359
255,Gangapur City,Rajasthan,0.370643275,0.365988095,0.611286572,44.16724691,255
381,Gangawati,Karnataka,0.220467836,0.3572,0.368550007,29.90755283,381
50,Gangtok,Sikkim,0.69122807,0.832178571,0.62671335,70.71112793,50
362,Gaya,Bihar,0.211988304,0.4593,0.370019695,32.12256453,362
351,Ghaziabad,Uttar Pradesh,0.41512462,0.202564935,0.328216103,33.59121437,351
413,Ghazipur,Uttar Pradesh,0.239181287,0.191928571,0.337936446,25.69946557,413
81,Giridih,Jharkhand,0.629122807,0.661678571,0.682142347,65.316761,81
49,Godhra,Gujarat,0.730526316,0.677,0.709495677,71.08355453,49
434,Gonda,Uttar Pradesh,0.062573099,0.114071429,0.319366449,15.24856865,434
153,Gondal,Gujarat,0.615789474,0.545857143,0.449483413,54.8414573,153
343,Gondia,Maharashtra,0.164093567,0.574047619,0.451199734,35.27139301,343
